seed,family,noise,method,length_scale,rmse,mae,decision_agreement,missed_exceedance,tp,fn,fp,tn,prevalence,recall,precision,false_positive_rate,balanced_accuracy
1,local_defect,0.003,two_sided_straddle,0.1,0.002995187397142169,0.0023883160117377598,0.9968,0.0,7,0,2,616,0.0112,1.0,0.7777777777777778,0.003236245954692557,0.9983818770226538
1,local_defect,0.003,evidence_gated,0.1,0.0030951650175760786,0.0022793119794622713,0.9952,0.0,7,0,3,615,0.0112,1.0,0.7,0.0048543689320388345,0.9975728155339806
1,local_defect,0.008,uncertainty_only,0.1,0.007787447428648412,0.006147643752761924,0.9824,0.0,7,0,11,607,0.0112,1.0,0.3888888888888889,0.01779935275080906,0.9911003236245954
1,local_defect,0.008,two_sided_straddle,0.1,0.00656095975357834,0.0053056041477820655,0.9728,0.0,7,0,17,601,0.0112,1.0,0.2916666666666667,0.02750809061488673,0.9862459546925566
1,local_defect,0.008,evidence_gated,0.1,0.00801224947081224,0.0064675108049927,0.9856,0.0,7,0,9,609,0.0112,1.0,0.4375,0.014563106796116505,0.9927184466019418
1,mixed,0.003,uncertainty_only,0.1,0.004740805849558187,0.003487135247912957,0.984,0.3103448275862069,20,9,1,595,0.0464,0.6896551724137931,0.9523809523809523,0.0016778523489932886,0.8439886600323999
1,mixed,0.003,two_sided_straddle,0.1,0.0054957540052479915,0.003939677917508327,0.9904,0.1724137931034483,24,5,1,595,0.0464,0.8275862068965517,0.96,0.0016778523489932886,0.9129541772737793
1,mixed,0.003,evidence_gated,0.1,0.006820872589588291,0.004960804852694279,0.9936,0.10344827586206896,26,3,1,595,0.0464,0.896551724137931,0.9629629629629629,0.0016778523489932886,0.9474369358944689
1,mixed,0.008,uncertainty_only,0.1,0.007615086668308638,0.0059127320755798405,0.9776,0.2413793103448276,22,7,7,589,0.0464,0.7586206896551724,0.7586206896551724,0.01174496644295302,0.8734378616061097
1,mixed,0.008,two_sided_straddle,0.1,0.008894840733011146,0.0068220678414415235,0.984,0.034482758620689655,28,1,9,587,0.0464,0.9655172413793104,0.7567567567567568,0.015100671140939598,0.9752082851191854
1,mixed,0.008,evidence_gated,0.1,0.008880218660313056,0.00700230528593737,0.9904,0.10344827586206896,26,3,3,593,0.0464,0.896551724137931,0.896551724137931,0.0050335570469798654,0.9457590835454757
2,smooth,0.003,uncertainty_only,0.1,0.0025562100005017264,0.0019690396284586954,0.9872,0.4444444444444444,5,4,4,612,0.0144,0.5555555555555556,0.5555555555555556,0.006493506493506494,0.7745310245310246
2,smooth,0.003,two_sided_straddle,0.1,0.0026566554427451313,0.002062665008624453,0.9872,0.3333333333333333,6,3,5,611,0.0144,0.6666666666666666,0.5454545454545454,0.008116883116883116,0.8292748917748918
2,smooth,0.003,evidence_gated,0.1,0.003297747966936588,0.002560424490618755,0.9904,0.3333333333333333,6,3,3,613,0.0144,0.6666666666666666,0.6666666666666666,0.00487012987012987,0.8308982683982684
2,smooth,0.008,uncertainty_only,0.1,0.006583162344397564,0.005344138283753301,0.9648,0.5555555555555556,4,5,17,599,0.0144,0.4444444444444444,0.19047619047619047,0.027597402597402596,0.7084235209235209
2,smooth,0.008,two_sided_straddle,0.1,0.006829209051204357,0.005518885708374704,0.9696,0.7777777777777778,2,7,12,604,0.0144,0.2222222222222222,0.14285714285714285,0.01948051948051948,0.6013708513708513
2,smooth,0.008,evidence_gated,0.1,0.007013849546688222,0.005579449312031764,0.984,0.1111111111111111,8,1,9,607,0.0144,0.8888888888888888,0.47058823529411764,0.01461038961038961,0.9371392496392497
